Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""P001-Login/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-18 21:11:48,2023-04-18 21:11:50,"1,706s",PASSED
"click(findTestObject(""P002-Products/button_Add to cart""))",Chrome 112.0.0.0,,,2023-04-18 21:11:50,2023-04-18 21:11:51,"1,153s",PASSED
"click(findTestObject(""P002-Products/a_1""))",Chrome 112.0.0.0,,,2023-04-18 21:11:51,2023-04-18 21:11:52,"1,638s",PASSED
"click(findTestObject(""P002-Products/button_Checkout""))",Chrome 112.0.0.0,,,2023-04-18 21:11:52,2023-04-18 21:11:53,"0,951s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_firstName""), first_name)",Chrome 112.0.0.0,,,2023-04-18 21:11:53,2023-04-18 21:11:55,"1,511s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_lastName""), last_name)",Chrome 112.0.0.0,,,2023-04-18 21:11:55,2023-04-18 21:11:56,"1,114s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_postalCode""), postal_code)",Chrome 112.0.0.0,,,2023-04-18 21:11:56,2023-04-18 21:11:57,"1,192s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/input_Cancel_continue""))",Chrome 112.0.0.0,,,2023-04-18 21:11:57,2023-04-18 21:11:59,"1,622s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Finish""))",Chrome 112.0.0.0,,,2023-04-18 21:11:59,2023-04-18 21:12:00,"1,337s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Back Home""))",Chrome 112.0.0.0,,,2023-04-18 21:12:00,2023-04-18 21:12:01,"1,326s",PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-18 21:12:01,2023-04-18 21:12:03,"1,525s",PASSED
,,,,,,,
Test Cases/Positive Case/SK002-Shopping_cart/TC001-Checkout_product,Chrome 112.0.0.0,,,2023-04-18 21:12:03,2023-04-18 21:12:27,"23,514s",PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 21:12:03,2023-04-18 21:12:06,"2,451s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-18 21:12:06,2023-04-18 21:12:09,"3,519s",PASSED
"setText(findTestObject(""P001-Login/input_Swag Labs_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 21:12:09,2023-04-18 21:12:10,"1,099s",PASSED
"setEncryptedText(findTestObject(""P001-Login/input_Swag Labs_password""), passwordEnc)",Chrome 112.0.0.0,,,2023-04-18 21:12:10,2023-04-18 21:12:11,"0,989s",PASSED
"click(findTestObject(""P001-Login/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-18 21:12:11,2023-04-18 21:12:13,"1,269s",PASSED
"click(findTestObject(""P002-Products/button_Add to cart""))",Chrome 112.0.0.0,,,2023-04-18 21:12:13,2023-04-18 21:12:14,"1,147s",PASSED
"click(findTestObject(""P002-Products/a_1""))",Chrome 112.0.0.0,,,2023-04-18 21:12:14,2023-04-18 21:12:15,"0,928s",PASSED
"click(findTestObject(""P002-Products/button_Checkout""))",Chrome 112.0.0.0,,,2023-04-18 21:12:15,2023-04-18 21:12:16,"1,727s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_firstName""), first_name)",Chrome 112.0.0.0,,,2023-04-18 21:12:16,2023-04-18 21:12:18,"1,673s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_lastName""), last_name)",Chrome 112.0.0.0,,,2023-04-18 21:12:18,2023-04-18 21:12:20,"2,307s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_postalCode""), postal_code)",Chrome 112.0.0.0,,,2023-04-18 21:12:20,2023-04-18 21:12:22,"1,366s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/input_Cancel_continue""))",Chrome 112.0.0.0,,,2023-04-18 21:12:22,2023-04-18 21:12:23,"1,397s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Finish""))",Chrome 112.0.0.0,,,2023-04-18 21:12:23,2023-04-18 21:12:25,"1,430s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Back Home""))",Chrome 112.0.0.0,,,2023-04-18 21:12:25,2023-04-18 21:12:25,"0,807s",PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-18 21:12:25,2023-04-18 21:12:27,"1,359s",PASSED
,,,,,,,
Test Cases/Positive Case/SK002-Shopping_cart/TC001-Checkout_product,Chrome 112.0.0.0,,,2023-04-18 21:12:27,2023-04-18 21:12:47,"19,792s",PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-18 21:12:27,2023-04-18 21:12:30,"3,123s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 112.0.0.0,,,2023-04-18 21:12:30,2023-04-18 21:12:34,"3,796s",PASSED
"setText(findTestObject(""P001-Login/input_Swag Labs_user-name""), username)",Chrome 112.0.0.0,,,2023-04-18 21:12:34,2023-04-18 21:12:35,"1,398s",PASSED
"setEncryptedText(findTestObject(""P001-Login/input_Swag Labs_password""), passwordEnc)",Chrome 112.0.0.0,,,2023-04-18 21:12:35,2023-04-18 21:12:36,"0,911s",PASSED
"click(findTestObject(""P001-Login/input_Swag Labs_login-button""))",Chrome 112.0.0.0,,,2023-04-18 21:12:36,2023-04-18 21:12:37,"0,778s",PASSED
"click(findTestObject(""P002-Products/button_Add to cart""))",Chrome 112.0.0.0,,,2023-04-18 21:12:37,2023-04-18 21:12:38,"1,126s",PASSED
"click(findTestObject(""P002-Products/a_1""))",Chrome 112.0.0.0,,,2023-04-18 21:12:38,2023-04-18 21:12:39,"0,865s",PASSED
"click(findTestObject(""P002-Products/button_Checkout""))",Chrome 112.0.0.0,,,2023-04-18 21:12:39,2023-04-18 21:12:40,"0,689s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_firstName""), first_name)",Chrome 112.0.0.0,,,2023-04-18 21:12:40,2023-04-18 21:12:41,"1,114s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_lastName""), last_name)",Chrome 112.0.0.0,,,2023-04-18 21:12:41,2023-04-18 21:12:42,"1,103s",PASSED
"setText(findTestObject(""Object Repository/P004-Checkout/input_Checkout Your Information_postalCode""), postal_code)",Chrome 112.0.0.0,,,2023-04-18 21:12:42,2023-04-18 21:12:43,"1,049s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/input_Cancel_continue""))",Chrome 112.0.0.0,,,2023-04-18 21:12:43,2023-04-18 21:12:44,"0,643s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Finish""))",Chrome 112.0.0.0,,,2023-04-18 21:12:44,2023-04-18 21:12:44,"0,665s",PASSED
"click(findTestObject(""Object Repository/P004-Checkout/button_Back Home""))",Chrome 112.0.0.0,,,2023-04-18 21:12:44,2023-04-18 21:12:45,"0,637s",PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-18 21:12:45,2023-04-18 21:12:47,"1,804s",PASSED
